reference_no,start_year,end_year,publish_year,country,region,latitude,longitude,pollinator_order,pollinator_family,pollinator_species,study_method,trend,drivers_reported,decline_value,sample_size,source_sheet,order_raw,family_raw,row_id,continent,x22,notes,x24,row_id_2,pollinator_order_norm,pollinator_family_norm,family_raw_norm,fig_s3_zhong_chu_xian_de_you_xiao_chuan_fen_zhe,x25,x26,x27,x28,x29,x30,order_key,yi,vi,effect_id,study_method_clean,pesticide,habitat,climate,pesticide_z,habitat_z,climate_z
H28,2004,2018,2021,USA,Southwestern Michigan,42.6,-86,Hymenoptera,Andrenidae,Andrena carolina,Field,Recovery,NA,-0.972,622,Hymenoptera,Hymenoptera,Andrenidae,94,North America,NA,"Sample_Size and Decline_Value were derived from the study’s supplementary Table S1 (raw specimen counts by sampling period).  The original study reported bee records aggregated into three sampling periods: SP1 (2004–2006), SP2 (2013–2014), and SP3 (2017–2018).  For each species, we extracted the raw count reported for each period (i.e., number of individuals captured/recorded in that period).  Sample_Size (Total N): calculated as the sum of raw counts across all available sampling periods: \text{Sample\_Size} = N_{SP1} + N_{SP2} + N_{SP3}, where N_{SP1}, N_{SP2}, and N_{SP3} are the species-specific counts reported in Table S1.  Decline_Value (period-level change): quantified as the proportional change in raw counts from SP1 to SP2, using SP1 as the baseline: \text{Decline\_Value} = \frac{N_{SP2} - N_{SP1}}{N_{SP1}}, Negative values indicate a decline in counts between SP1 and SP2;  positive values indicate an increase.  Important clarification: This derived “Decline_Value” represents a period-level change in observed counts between SP1 and SP2 and is not the same metric as the paper’s year-to-year “average abundance percent change” visualised in Fig. 7.  We used Table S1 counts because they provide a fully reproducible and directly auditable basis for effect-size derivation without digitising figures.  Edge cases: If N_{SP1}=0, the proportional change is undefined;  such cases should be flagged and handled consistently (e.g., exclude, apply a small continuity correction, or compute an alternative contrast).  In the current dataset, all included species had N_{SP1} > 0.",NA,94,hymenoptera,andrenidae,andrenidae,NA,NA,NA,NA,NA,NA,NA,hym,-3.575550768806932,0.00160771704180064,49,Field,0.8044027909755221,0.20583015377627525,0.39607316951600735,0.48185884544525787,-0.6831866230361099,-0.7328283716141694
H28,2004,2018,2021,USA,Southwestern Michigan,42.6,-86,Hymenoptera,Andrenidae,Andrena carlini,Field,Decline,Climate,-0.978,155,Hymenoptera,Hymenoptera,Andrenidae,95,North America,NA,NA,NA,95,hymenoptera,andrenidae,andrenidae,NA,NA,NA,NA,NA,NA,NA,hym,-3.81671282562382,0.0064516129032258,50,Field,0.8044027909755221,0.20583015377627525,0.39607316951600735,0.48185884544525787,-0.6831866230361099,-0.7328283716141694
H28,2004,2018,2021,USA,Southwestern Michigan,42.6,-86,Hymenoptera,Andrenidae,Andrena imitatrix,Field,Decline,Climate,-0.947,164,Hymenoptera,Hymenoptera,Andrenidae,96,North America,NA,NA,NA,96,hymenoptera,andrenidae,andrenidae,NA,NA,NA,NA,NA,NA,NA,hym,-2.9374633654300166,0.00609756097560975,51,Field,0.8044027909755221,0.20583015377627525,0.39607316951600735,0.48185884544525787,-0.6831866230361099,-0.7328283716141694
H28,2004,2018,2021,USA,Southwestern Michigan,42.6,-86,Hymenoptera,Andrenidae,Andrena crataegi,Field,Decline,Climate,-0.932,78,Hymenoptera,Hymenoptera,Andrenidae,97,North America,NA,NA,NA,97,hymenoptera,andrenidae,andrenidae,NA,NA,NA,NA,NA,NA,NA,hym,-2.688247573806031,0.01282051282051282,52,Field,0.8044027909755221,0.20583015377627525,0.39607316951600735,0.48185884544525787,-0.6831866230361099,-0.7328283716141694
H28,2004,2018,2021,USA,Southwestern Michigan,42.6,-86,Hymenoptera,Andrenidae,Lasioglossum imitatum,Field,Decline,Climate,-0.6849999999999989,193,Hymenoptera,Hymenoptera,Andrenidae,98,North America,NA,NA,NA,98,hymenoptera,andrenidae,andrenidae,NA,NA,NA,NA,NA,NA,NA,hym,-1.1551826401565006,0.00518134715025906,53,Field,0.8044027909755221,0.20583015377627525,0.39607316951600735,0.48185884544525787,-0.6831866230361099,-0.7328283716141694
H28,2004,2018,2021,USA,Southwestern Michigan,42.6,-86,Hymenoptera,Andrenidae,Lasioglossum leucozonium,Field,Decline,Climate,-0.8130000000000001,219,Hymenoptera,Hymenoptera,Andrenidae,99,North America,NA,NA,NA,99,hymenoptera,andrenidae,andrenidae,NA,NA,NA,NA,NA,NA,NA,hym,-1.6766466621275506,0.0045662100456621,54,Field,0.8044027909755221,0.20583015377627525,0.39607316951600735,0.48185884544525787,-0.6831866230361099,-0.7328283716141694
H28,2004,2018,2021,USA,Southwestern Michigan,42.6,-86,Hymenoptera,Andrenidae,Ceratina calcarata,Field,Decline,Climate,-0.6639999999999989,312,Hymenoptera,Hymenoptera,Andrenidae,100,North America,NA,NA,NA,100,hymenoptera,andrenidae,andrenidae,NA,NA,NA,NA,NA,NA,NA,hym,-1.0906441190189295,0.0032051282051282,55,Field,0.8044027909755221,0.20583015377627525,0.39607316951600735,0.48185884544525787,-0.6831866230361099,-0.7328283716141694
H60,1997,2012,2017,Brazil,Atlantic Forest ,-19.1349,-40.0206,Hymenoptera,Apidae,Euglossa carolina,Historical + Field,Increase,NA,0.4700000000000001,1732,Hymenoptera,Hymenoptera,Apidae,119,South America,NA,"Pollinator_Species restricted to the 8 “habitat preferences well-defined” orchid-bee species explicitly compared between Bonilla-Gómez (1996–1997) and the present resurvey (2009) (Tables 2–3).  Sample_Size = total individuals captured in 2009 (present study) from Table 1 “Total” column.  Decline_Value = proportional change in absolute abundance standardised by effort, using mean bees captured per hour (Table 3): (Present mean bees/hour − Bonilla mean bees/hour) / Bonilla mean bees/hour (negative = decline, positive = increase).",NA,119,hymenoptera,apidae,apidae,NA,NA,NA,NA,NA,NA,NA,hym,0.38526240079064505,5.773672055427252e-4,56,Historical + Field,0.7523742358211547,0.0570531717998312,0.5577766265256898,0.31684648158424483,-1.2066328977605665,1.1698637920660797
H60,1997,2012,2017,Brazil,Atlantic Forest ,-19.1349,-40.0206,Hymenoptera,Apidae,Euglossa ignita,Historical + Field,Increase,NA,0.33299999999999996,105,Hymenoptera,Hymenoptera,Apidae,120,South America,NA,NA,NA,120,hymenoptera,apidae,apidae,NA,NA,NA,NA,NA,NA,NA,hym,0.28743204119657156,0.00952380952380952,57,Historical + Field,0.7523742358211547,0.0570531717998312,0.5577766265256898,0.31684648158424483,-1.2066328977605665,1.1698637920660797
H60,1997,2012,2017,Brazil,Atlantic Forest ,-19.1349,-40.0206,Hymenoptera,Apidae,Euglossa mixta,Historical + Field,Increase,NA,3.5,134,Hymenoptera,Hymenoptera,Apidae,121,South America,NA,NA,NA,121,hymenoptera,apidae,apidae,NA,NA,NA,NA,NA,NA,NA,hym,1.5040773967762742,0.00746268656716417,58,Historical + Field,0.7523742358211547,0.0570531717998312,0.5577766265256898,0.31684648158424483,-1.2066328977605665,1.1698637920660797
H60,1997,2012,2017,Brazil,Atlantic Forest ,-19.1349,-40.0206,Hymenoptera,Apidae,Eulaema nigrita,Historical + Field,Decline,Habitat,-0.258,227,Hymenoptera,Hymenoptera,Apidae,122,South America,NA,NA,NA,122,hymenoptera,apidae,apidae,NA,NA,NA,NA,NA,NA,NA,hym,-0.2984060358147566,0.00440528634361233,59,Historical + Field,0.7523742358211547,0.0570531717998312,0.5577766265256898,0.31684648158424483,-1.2066328977605665,1.1698637920660797
H60,1997,2012,2017,Brazil,Atlantic Forest ,-19.1349,-40.0206,Hymenoptera,Apidae,Euglossa cognata,Historical + Field,Decline,Habitat,-0.5710000000000001,28,Hymenoptera,Hymenoptera,Apidae,123,South America,NA,NA,NA,123,hymenoptera,apidae,apidae,NA,NA,NA,NA,NA,NA,NA,hym,-0.8462983600541202,0.03571428571428571,60,Historical + Field,0.7523742358211547,0.0570531717998312,0.5577766265256898,0.31684648158424483,-1.2066328977605665,1.1698637920660797
H60,1997,2012,2017,Brazil,Atlantic Forest ,-19.1349,-40.0206,Hymenoptera,Apidae,Euglossa imperialis,Historical + Field,Decline,Habitat,-0.19,168,Hymenoptera,Hymenoptera,Apidae,124,South America,NA,NA,NA,124,hymenoptera,apidae,apidae,NA,NA,NA,NA,NA,NA,NA,hym,-0.2107210313156525,0.00595238095238095,61,Historical + Field,0.7523742358211547,0.0570531717998312,0.5577766265256898,0.31684648158424483,-1.2066328977605665,1.1698637920660797
H60,1997,2012,2017,Brazil,Atlantic Forest ,-19.1349,-40.0206,Hymenoptera,Apidae,Euglossa marianae,Historical + Field,Increase,Habitat,-0.608,214,Hymenoptera,Hymenoptera,Apidae,125,South America,NA,NA,NA,125,hymenoptera,apidae,apidae,NA,NA,NA,NA,NA,NA,NA,hym,-0.9364934391916744,0.00467289719626168,62,Historical + Field,0.7523742358211547,0.0570531717998312,0.5577766265256898,0.31684648158424483,-1.2066328977605665,1.1698637920660797
H60,1997,2012,2017,Brazil,Atlantic Forest ,-19.1349,-40.0206,Hymenoptera,Apidae,Euglossa roubiki,Historical + Field,Increase,Habitat,-0.389,156,Hymenoptera,Hymenoptera,Apidae,126,South America,NA,NA,NA,126,hymenoptera,apidae,apidae,NA,NA,NA,NA,NA,NA,NA,hym,-0.49265831981054176,0.00641025641025641,63,Historical + Field,0.7523742358211547,0.0570531717998312,0.5577766265256898,0.31684648158424483,-1.2066328977605665,1.1698637920660797
H67,2016,2020,2021,USA,Wyoming,43.075,-107.2903,Hymenoptera,Apidae,Bombus occidentalis,Historical  + Field,Decline,"Multiple, Habitat, Climate, Pathogens",-0.05,103,Hymenoptera,Hymenoptera,Apidae,127,North America,NA,H67:Decline_Value represents the proportional change in predicted highly suitable habitat area for Bombus occidentalis between the historical SDM (1910–2010) and the current SDM (2017–2018).  The paper reports that areas predicted to be highly suitable declined by 5%;  therefore Decline_Value was recorded as −0.05.  This metric reflects habitat suitability change rather than population abundance change.  Sample_Size (103) corresponds to the total number of field sampling sites surveyed in 2017–2018 (including 28 revisited historical locations plus additional new sites),NA,127,hymenoptera,apidae,apidae,NA,NA,NA,NA,NA,NA,NA,hym,-0.05129329438755058,0.00970873786407766,64,Historical + Field,0.17259482832077755,0.05415873710433948,0.4450906647672451,-1.521966267793899,-1.2168164694304653,-0.15606145628359974
H71,2008,2014,2019,USA,Midwest,42.032,-93.581,Hymenoptera,Apidae,Bombus auricomus,Field,Decline,"Multiple, Habitat, Climate, Pathogens",-0.641,39,Hymenoptera,Hymenoptera,Apidae,129,North America,NA,NA,NA,129,hymenoptera,apidae,apidae,NA,NA,NA,NA,NA,NA,NA,hym,-1.0244328904938582,0.02564102564102564,65,Field,0.6417446063993881,0.7277182901651074,0.3911402325987935,-0.034023470690821844,1.1529872069914147,-0.7908720312234367
H71,2008,2014,2019,USA,Midwest,42.032,-93.581,Hymenoptera,Apidae,Bombus bimaculatus,Field,Decline,"Multiple, Habitat, Climate, Pathogens",0.3670000000000001,49,Hymenoptera,Hymenoptera,Apidae,130,North America,NA,NA,NA,130,hymenoptera,apidae,apidae,NA,NA,NA,NA,NA,NA,NA,hym,0.3126185577418125,0.02040816326530612,66,Field,0.6417446063993881,0.7277182901651074,0.3911402325987935,-0.034023470690821844,1.1529872069914147,-0.7908720312234367
H71,2008,2014,2019,USA,Midwest,42.032,-93.581,Hymenoptera,Apidae,Bombus borealis,Field,Decline,"Multiple, Habitat, Climate, Pathogens",-0.5,54,Hymenoptera,Hymenoptera,Apidae,131,North America,NA,NA,NA,131,hymenoptera,apidae,apidae,NA,NA,NA,NA,NA,NA,NA,hym,-0.6931471805599453,0.01851851851851851,67,Field,0.6417446063993881,0.7277182901651074,0.3911402325987935,-0.034023470690821844,1.1529872069914147,-0.7908720312234367
H71,2008,2014,2019,USA,Midwest,42.032,-93.581,Hymenoptera,Apidae,Bombus fervidus,Field,Decline,"Multiple, Habitat, Climate, Pathogens",-0.645,76,Hymenoptera,Hymenoptera,Apidae,132,North America,NA,NA,NA,132,hymenoptera,apidae,apidae,NA,NA,NA,NA,NA,NA,NA,hym,-1.0356374895067213,0.0131578947368421,68,Field,0.6417446063993881,0.7277182901651074,0.3911402325987935,-0.034023470690821844,1.1529872069914147,-0.7908720312234367
H71,2008,2014,2019,USA,Midwest,42.032,-93.581,Hymenoptera,Apidae,Bombus griseocollis,Field,Decline,"Multiple, Habitat, Climate, Pathogens",0.09699999999999998,72,Hymenoptera,Hymenoptera,Apidae,133,North America,NA,NA,NA,133,hymenoptera,apidae,apidae,NA,NA,NA,NA,NA,NA,NA,hym,0.09257918129309316,0.01388888888888888,69,Field,0.6417446063993881,0.7277182901651074,0.3911402325987935,-0.034023470690821844,1.1529872069914147,-0.7908720312234367
H71,2008,2014,2019,USA,Midwest,42.032,-93.581,Hymenoptera,Apidae,Bombus impatiens,Field,Decline,"Multiple, Habitat, Climate, Pathogens",0.30600000000000005,62,Hymenoptera,Hymenoptera,Apidae,134,North America,NA,NA,NA,134,hymenoptera,apidae,apidae,NA,NA,NA,NA,NA,NA,NA,hym,0.26696903085423934,0.01612903225806451,70,Field,0.6417446063993881,0.7277182901651074,0.3911402325987935,-0.034023470690821844,1.1529872069914147,-0.7908720312234367
H71,2008,2014,2019,USA,Midwest,42.032,-93.581,Hymenoptera,Apidae,Bombus pensylvanicus,Field,Increase,"Multiple, Habitat, Climate, Pathogens",-0.978,45,Hymenoptera,Hymenoptera,Apidae,135,North America,NA,NA,NA,135,hymenoptera,apidae,apidae,NA,NA,NA,NA,NA,NA,NA,hym,-3.81671282562382,0.02222222222222222,71,Field,0.6417446063993881,0.7277182901651074,0.3911402325987935,-0.034023470690821844,1.1529872069914147,-0.7908720312234367
H71,2008,2014,2019,USA,Midwest,42.032,-93.581,Hymenoptera,Apidae,Bombus perplexus,Field,Increase,"Multiple, Habitat, Climate, Pathogens",-0.208,53,Hymenoptera,Hymenoptera,Apidae,136,North America,NA,NA,NA,136,hymenoptera,apidae,apidae,NA,NA,NA,NA,NA,NA,NA,hym,-0.2331938871677111,0.01886792452830188,72,Field,0.6417446063993881,0.7277182901651074,0.3911402325987935,-0.034023470690821844,1.1529872069914147,-0.7908720312234367
H71,2008,2014,2019,USA,Midwest,42.032,-93.581,Hymenoptera,Apidae,Bombus ternarius,Field,Increase,"Multiple, Habitat, Climate, Pathogens",-0.067,45,Hymenoptera,Hymenoptera,Apidae,137,North America,NA,NA,NA,137,hymenoptera,apidae,apidae,NA,NA,NA,NA,NA,NA,NA,hym,-0.06935007813479317,0.02222222222222222,73,Field,0.6417446063993881,0.7277182901651074,0.3911402325987935,-0.034023470690821844,1.1529872069914147,-0.7908720312234367
H71,2008,2014,2019,USA,Midwest,42.032,-93.581,Hymenoptera,Apidae,Bombus terricola,Field,Increase,"Multiple, Habitat, Climate, Pathogens",-0.708,72,Hymenoptera,Hymenoptera,Apidae,138,North America,NA,NA,NA,138,hymenoptera,apidae,apidae,NA,NA,NA,NA,NA,NA,NA,hym,-1.231001476713855,0.01388888888888888,74,Field,0.6417446063993881,0.7277182901651074,0.3911402325987935,-0.034023470690821844,1.1529872069914147,-0.7908720312234367
H71,2008,2014,2019,USA,Midwest,42.032,-93.581,Hymenoptera,Apidae,Bombus vagans,Field,Decline,"Multiple, Habitat, Climate, Pathogens",-0.127,79,Hymenoptera,Hymenoptera,Apidae,139,North America,NA,NA,NA,139,hymenoptera,apidae,apidae,NA,NA,NA,NA,NA,NA,NA,hym,-0.13581972314253485,0.01265822784810126,75,Field,0.6417446063993881,0.7277182901651074,0.3911402325987935,-0.034023470690821844,1.1529872069914147,-0.7908720312234367
H137,2003,2017,2020,USA,Mid-Atlantic,39,-77,Hymenoptera,Megachilidae,Osmia atriventris,Field,Decline,Invasives,-0.1277,442,Hymenoptera,Hymenoptera,Megachilidae,168,North America,NA,"H137: Species-level trends were derived from the authors’ GLMMs (negative binomial, log link). Table 1 reports the estimated mean change per year on the original scale (multiplicative factor) and the corresponding percent mean change per year.  To standardise effect sizes across studies, we defined Decline_Value as proportional annual change: Decline_Value = (estimated mean change per year − 1) (e.g., 0.8723 → −0.1277, equivalent to −12.77% per year).  Sample_Size was recorded as n (specimen records) used in each species-level model (Table 1). Only species with n > 50 were included in species-level analyses",NA,168,hymenoptera,megachilidae,megachilidae,NA,NA,NA,NA,NA,NA,NA,hym,-0.13662187754296426,0.00226244343891402,76,Field,0.13907634959536525,0.8708085355119308,0.43838766084202074,-1.6282725719204527,1.6564256749666704,-0.23493270169475203
H137,2003,2017,2020,USA,Mid-Atlantic,39,-77,Hymenoptera,Megachilidae,Osmia bucephala,Field,Decline,Invasives,-0.1226,217,Hymenoptera,Hymenoptera,Megachilidae,169,North America,NA,NA,NA,169,hymenoptera,megachilidae,megachilidae,NA,NA,NA,NA,NA,NA,NA,hym,-0.1307922902500235,0.00460829493087557,77,Field,0.13907634959536525,0.8708085355119308,0.43838766084202074,-1.6282725719204527,1.6564256749666704,-0.23493270169475203
H137,2003,2017,2020,USA,Mid-Atlantic,39,-77,Hymenoptera,Megachilidae,Osmia collinsiae,Field,Decline,Invasives,-0.1366,135,Hymenoptera,Hymenoptera,Megachilidae,170,North America,NA,NA,NA,170,hymenoptera,megachilidae,megachilidae,NA,NA,NA,NA,NA,NA,NA,hym,-0.14687719586075998,0.0074074074074074,78,Field,0.13907634959536525,0.8708085355119308,0.43838766084202074,-1.6282725719204527,1.6564256749666704,-0.23493270169475203
H137,2003,2017,2020,USA,Mid-Atlantic,39,-77,Hymenoptera,Megachilidae,Osmia georgica,Field,Decline,Invasives,-0.09699999999999988,293,Hymenoptera,Hymenoptera,Megachilidae,171,North America,NA,NA,NA,171,hymenoptera,megachilidae,megachilidae,NA,NA,NA,NA,NA,NA,NA,hym,-0.10203272556515149,0.00341296928327645,79,Field,0.13907634959536525,0.8708085355119308,0.43838766084202074,-1.6282725719204527,1.6564256749666704,-0.23493270169475203
H137,2003,2017,2020,USA,Mid-Atlantic,39,-77,Hymenoptera,Megachilidae,Osmia lignaria,Field,Decline,Invasives,-0.1378,76,Hymenoptera,Hymenoptera,Megachilidae,172,North America,NA,NA,NA,172,hymenoptera,megachilidae,megachilidae,NA,NA,NA,NA,NA,NA,NA,hym,-0.14826801666910286,0.0131578947368421,80,Field,0.13907634959536525,0.8708085355119308,0.43838766084202074,-1.6282725719204527,1.6564256749666704,-0.23493270169475203
H137,2003,2017,2020,USA,Mid-Atlantic,39,-77,Hymenoptera,Megachilidae,Osmia pumila,Field,Decline,Invasives,-0.15970000000000004,1588,Hymenoptera,Hymenoptera,Megachilidae,173,North America,NA,NA,NA,173,hymenoptera,megachilidae,megachilidae,NA,NA,NA,NA,NA,NA,NA,hym,-0.1739963080479646,6.297229219143577e-4,81,Field,0.13907634959536525,0.8708085355119308,0.43838766084202074,-1.6282725719204527,1.6564256749666704,-0.23493270169475203
H137,2003,2017,2020,USA,Mid-Atlantic,39,-77,Hymenoptera,Megachilidae,Osmia cornifrons (exotic),Field,Stable,Invasives,0.0084,618,Hymenoptera,Hymenoptera,Megachilidae,174,North America,NA,NA,NA,174,hymenoptera,megachilidae,megachilidae,NA,NA,NA,NA,NA,NA,NA,hym,0.00836491633162767,0.00161812297734627,82,Field,0.13907634959536525,0.8708085355119308,0.43838766084202074,-1.6282725719204527,1.6564256749666704,-0.23493270169475203
H137,2003,2017,2020,USA,Mid-Atlantic,39,-77,Hymenoptera,Megachilidae,Osmia taurus (exotic),Field,Increase,Invasives,0.16990000000000005,2288,Hymenoptera,Hymenoptera,Megachilidae,175,North America,NA,NA,NA,175,hymenoptera,megachilidae,megachilidae,NA,NA,NA,NA,NA,NA,NA,hym,0.15691827507141892,4.3706293706293706e-4,83,Field,0.13907634959536525,0.8708085355119308,0.43838766084202074,-1.6282725719204527,1.6564256749666704,-0.23493270169475203
H165,2009,2009,2010,Greece,Peloponnesus,37.6792,22.0839,Hymenoptera,Apidae,Apis mellifera,Field + Molecular,Decline,"Multiple, Pathogens, Pesticides, Climate",-0.58,37,Hymenoptera,Hymenoptera,Apidae,177,Europe,NA,"H165: This study reports an acute summer colony depopulation event in Greece (Jun–Jul 2009), rather than a multi-year population trend. Decline_Value was extracted as the mean apiary-level loss proportion reported in Table 1 (losses of 70%, 60%, 50%, 50%, and 60% across five apiaries; mean = 58%), and recorded as −0.58 to indicate decline. Sample_Size (37) corresponds to the number of bee samples collected from the five affected apiaries for pathogen/pesticide screening (not the number of apiaries/colonies).",NA,177,hymenoptera,apidae,apidae,NA,NA,NA,NA,NA,NA,NA,hym,-0.867500567704723,0.02702702702702703,84,Field,0.9620286344039458,0.1559406194031805,0.46215318985127474,0.9817807239702036,-0.8587143865947826,0.044705635344112996
H169,1979,1988,1988,Japan,Honshu,36.2048,138.2529,Hymenoptera,Cynipidae,Dryocosmus kuriphilus,Field,Decline,Invasives,-0.4,1102,Hymenoptera,Hymenoptera,Cynipidae,181,Asia,NA,H169: Not orchids pollinator,NA,181,hymenoptera,cynipidae,cynipidae,NA,NA,NA,NA,NA,NA,NA,hym,-0.5108256237659907,9.074410163339384e-4,85,Field,1,0.254274547331113,0.39670915910471677,1.102209684133432,-0.5127433393997995,-0.7253449669362646
H185,1910,2009,2012,USA,Vermont,44.0886,-72.7317,Hymenoptera,Apidae,Bombus affinis,Historical  + Field,Decline,"Multiple, Habitat, Pesticides, Pathogens, Climate",-0.123,205,Hymenoptera,Hymenoptera,Apidae,183,North America,NA,"H185: Decline metric used: Relative-abundance change between historic (1915–1999) and modern subsample (2000–2014, records within ≤5 km of historic localities). Decline_Value was extracted from Table 1 as “RA change (subsample)” = RA(5 km sample) − RA(historic). Negative values indicate a decrease in relative abundance; positive values indicate an increase. Sample size used: Species-level Sample_Size was calculated as n_historic + n_modern(5 km subsample) (Table 1: “Historic collections” + “5 km sample”), consistent with the dataset used to compute RA change (subsample). Why subsample: The modern dataset was subsampled to reduce spatial bias because historic and modern localities differed; the subsample includes only modern collections within ≤5 km of a historic locality (N=5299).",NA,183,hymenoptera,apidae,apidae,NA,NA,NA,NA,NA,NA,NA,hym,-0.13124828660995402,0.0048780487804878,86,Historical + Field,1,0.10686367426091403,0.35890594116830926,1.102209684133432,-1.0313831944191225,-1.1701585031440422
H185,1910,2009,2012,USA,Vermont,44.0886,-72.7317,Hymenoptera,Apidae,Bombus ashtoni,Historical  + Field,Decline,"Multiple, Habitat, Pesticides, Pathogens, Climate",-0.008,14,Hymenoptera,Hymenoptera,Apidae,184,North America,NA,NA,NA,184,hymenoptera,apidae,apidae,NA,NA,NA,NA,NA,NA,NA,hym,-0.00803217169726426,0.07142857142857142,87,Historical + Field,1,0.10686367426091403,0.35890594116830926,1.102209684133432,-1.0313831944191225,-1.1701585031440422
H185,1910,2009,2012,USA,Vermont,44.0886,-72.7317,Hymenoptera,Apidae,Bombus auricomus,Historical  + Field,Stable,NA,0,1,Hymenoptera,Hymenoptera,Apidae,185,North America,NA,NA,NA,185,hymenoptera,apidae,apidae,NA,NA,NA,NA,NA,NA,NA,hym,0,1,88,Historical + Field,1,0.10686367426091403,0.35890594116830926,1.102209684133432,-1.0313831944191225,-1.1701585031440422
H185,1910,2009,2012,USA,Vermont,44.0886,-72.7317,Hymenoptera,Apidae,Bombus bimaculatus,Historical  + Field,Increase,NA,0.08,518,Hymenoptera,Hymenoptera,Apidae,186,North America,NA,NA,NA,186,hymenoptera,apidae,apidae,NA,NA,NA,NA,NA,NA,NA,hym,0.0769610411361284,0.00193050193050193,89,Historical + Field,1,0.10686367426091403,0.35890594116830926,1.102209684133432,-1.0313831944191225,-1.1701585031440422
H185,1910,2009,2012,USA,Vermont,44.0886,-72.7317,Hymenoptera,Apidae,Bombus borealis,Historical  + Field,Increase,NA,0.031,226,Hymenoptera,Hymenoptera,Apidae,187,North America,NA,NA,NA,187,hymenoptera,apidae,apidae,NA,NA,NA,NA,NA,NA,NA,hym,0.03052920503482279,0.00442477876106194,90,Historical + Field,1,0.10686367426091403,0.35890594116830926,1.102209684133432,-1.0313831944191225,-1.1701585031440422
H185,1910,2009,2012,USA,Vermont,44.0886,-72.7317,Hymenoptera,Apidae,Bombus citrinus,Historical  + Field,Decline,"Multiple, Habitat, Pesticides, Pathogens, Climate",-0.025,138,Hymenoptera,Hymenoptera,Apidae,188,North America,NA,NA,NA,188,hymenoptera,apidae,apidae,NA,NA,NA,NA,NA,NA,NA,hym,-0.02531780798428989,0.0072463768115942,91,Historical + Field,1,0.10686367426091403,0.35890594116830926,1.102209684133432,-1.0313831944191225,-1.1701585031440422
H185,1910,2009,2012,USA,Vermont,44.0886,-72.7317,Hymenoptera,Apidae,Bombus fernaldae,Historical  + Field,Decline,"Multiple, Habitat, Pesticides, Pathogens, Climate",-0.001,1,Hymenoptera,Hymenoptera,Apidae,189,North America,NA,NA,NA,189,hymenoptera,apidae,apidae,NA,NA,NA,NA,NA,NA,NA,hym,-0.00100050033358353,1,92,Historical + Field,1,0.10686367426091403,0.35890594116830926,1.102209684133432,-1.0313831944191225,-1.1701585031440422
H185,1910,2009,2012,USA,Vermont,44.0886,-72.7317,Hymenoptera,Apidae,Bombus fervidus,Historical  + Field,Decline,"Multiple, Habitat, Pesticides, Pathogens, Climate",-0.13,331,Hymenoptera,Hymenoptera,Apidae,190,North America,NA,NA,NA,190,hymenoptera,apidae,apidae,NA,NA,NA,NA,NA,NA,NA,hym,-0.13926206733350766,0.00302114803625377,93,Historical + Field,1,0.10686367426091403,0.35890594116830926,1.102209684133432,-1.0313831944191225,-1.1701585031440422
H185,1910,2009,2012,USA,Vermont,44.0886,-72.7317,Hymenoptera,Apidae,Bombus griseocollis,Historical  + Field,Increase,NA,0.021,253,Hymenoptera,Hymenoptera,Apidae,191,North America,NA,NA,NA,191,hymenoptera,apidae,apidae,NA,NA,NA,NA,NA,NA,NA,hym,0.02078253918252841,0.00395256916996047,94,Historical + Field,1,0.10686367426091403,0.35890594116830926,1.102209684133432,-1.0313831944191225,-1.1701585031440422
H185,1910,2009,2012,USA,Vermont,44.0886,-72.7317,Hymenoptera,Apidae,Bombus impatiens,Historical  + Field,Increase,NA,0.036,2059,Hymenoptera,Hymenoptera,Apidae,192,North America,NA,NA,NA,192,hymenoptera,apidae,apidae,NA,NA,NA,NA,NA,NA,NA,hym,0.03536714383729134,4.8567265662943174e-4,95,Historical + Field,1,0.10686367426091403,0.35890594116830926,1.102209684133432,-1.0313831944191225,-1.1701585031440422
H185,1910,2009,2012,USA,Vermont,44.0886,-72.7317,Hymenoptera,Apidae,Bombus pensylvanicus,Historical  + Field,Decline,"Multiple, Habitat, Pesticides, Pathogens, Climate",-0.042,72,Hymenoptera,Hymenoptera,Apidae,193,North America,NA,NA,NA,193,hymenoptera,apidae,apidae,NA,NA,NA,NA,NA,NA,NA,hym,-0.04290750101127655,0.01388888888888888,96,Historical + Field,1,0.10686367426091403,0.35890594116830926,1.102209684133432,-1.0313831944191225,-1.1701585031440422
H185,1910,2009,2012,USA,Vermont,44.0886,-72.7317,Hymenoptera,Apidae,Bombus perplexus,Historical  + Field,Decline,"Multiple, Habitat, Pesticides, Pathogens, Climate",-0.001,103,Hymenoptera,Hymenoptera,Apidae,194,North America,NA,NA,NA,194,hymenoptera,apidae,apidae,NA,NA,NA,NA,NA,NA,NA,hym,-0.00100050033358353,0.00970873786407766,97,Historical + Field,1,0.10686367426091403,0.35890594116830926,1.102209684133432,-1.0313831944191225,-1.1701585031440422
H185,1910,2009,2012,USA,Vermont,44.0886,-72.7317,Hymenoptera,Apidae,Bombus rufocinctus,Historical  + Field,Increase,NA,0.006,80,Hymenoptera,Hymenoptera,Apidae,195,North America,NA,NA,NA,195,hymenoptera,apidae,apidae,NA,NA,NA,NA,NA,NA,NA,hym,0.00598207167754746,0.0125,98,Historical + Field,1,0.10686367426091403,0.35890594116830926,1.102209684133432,-1.0313831944191225,-1.1701585031440422
